App name,,,,,,,,,,,,,,,,,,,,
cycleg,10,test,0.5,15,test,0.5,10,test,0.5
artg,15,val,0.8,10,test,0.3,10,test,0.8
milab,5,test,0.9,5,test,0.9,15,test,0.9
iot,10,test,0.7,10,test,0.7,20,test,0.9
photob,10,test,0.7,10,test,0.7,10,test,0.7
cldcom,10,test,0.5,10,test,0.5,5,test,0.5
csc847,10,test,0.3,10,test,0.5,10,test,0.5
cldcom,10,test,0.5,10,test,0.5,5,test,0.5
hackat,15,val,0.7,15,val,0.7,15,val,0.8
seniorp,10,test,0.3,10,test,0.3,10,test,0.5
aiserve,10,test,0.7,10,test,0.7,10,test,0.7
recbot,10,test,0.7,10,test,0.7,10,test,0.7
aanetl,5,test,0.5,5,test,0.5,5,test,0.5
heapsort,10,test,0.5,10,test,0.5,10,test,0.5
trashb,10,test,0.5,10,test,0.5,10,test,0.7
garbso,10,test,0.5,10,test,0.5,10,test,0.5
smarth,10,test,0.5,10,test,0.5,50,test,0.8
uoft,10,test,0.7,10,test,0.7,10,test,0.7